name,id,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,f_min,f_max,f_sum,rel,rms,w20,w50,ell_maj,ell_min,ell_pa,ell3s_maj,ell3s_min,ell3s_pa,kin_pa,err_x,err_y,err_z,err_f_sum,ra,dec,freq,flag,wm50,x_peak,y_peak,z_peak,ra_peak,dec_peak,freq_peak
WALLABY J133222-200358,4703.0,2541.6719780491703,3702.8952937100053,6311.030105985804,987.0,1000.0,900.0,915.0,1104.0,1148.0,3871.0,-0.005619363393634558,0.01004656869918108,2247.318816427511,0.9892391281144453,0.002036820564190239,589078.3599597702,124994.5725004682,5.775717583843296,4.920414083954268,-46.32438267247144,3.961987937496216,3.240852936508506,35.84474738659659,186.4936153239591,0.2938855551924138,0.3112651931837385,1.032785041971625,439.8047061675964,203.0946249519964,-20.0661143556457,1.412370927888509E9,0.0,650785.1603071947,995.0,906.0,1121.0,203.0922715559884,-20.06761273935824,1.412333333333216E9
WALLABY J133217-210813,4994.0,2553.979820151831,3060.74452720673,5241.025842601794,998.0,1017.0,256.0,273.0,32.0,80.0,4692.0,-0.004842130467295647,0.006534088868647814,1932.141144288361,0.716721082610962,0.001728594967689995,741834.4171869616,471984.0067500932,7.165018607426299,5.376538692654657,-58.03111542768468,6.096617939870508,3.724867063321909,85.90949119286348,202.2984424031489,0.3652913867219237,0.3311827829640872,1.121847199753519,410.9299181038566,203.0749006623077,-21.13707689684373,1.392556034122158E9,0.0,753160.6813159602,1004.0,265.0,47.0,203.0784375364612,-21.13664424257037,1.392444444444347E9
WALLABY J133218-233549,6011.0,2555.237059528402,1584.848535403827,3612.6404011617005,992.0,1016.0,1277.0,1293.0,740.0,789.0,5412.0,-0.005242302548140287,0.008406596258282661,3153.327788466735,0.9999129725687408,0.001654918396624985,698409.4222366675,266634.6360595973,7.962193771717609,4.798460364415201,64.54324352736356,6.311444623985924,4.523387232685682,85.32197288813138,53.98246397800824,0.3133019614919216,0.2441165421373868,0.7445498674302239,422.5236212272752,203.0779985900787,-23.59711300380885,1.362400748169594E9,0.0,698648.5393752195,1008.0,1284.0,769.0,203.0766142580095,-23.59853003593175,1.362407407407341E9
WALLABY J133217-231924,4977.0,2558.690558708059,1749.1116374314784,3471.9000165571665,1003.0,1020.0,193.0,210.0,601.0,663.0,6742.0,-0.005717075429856777,0.007303900085389614,3173.547966035198,0.9020222176297076,0.001622805920073797,791441.0709762163,766120.6647983654,6.009000911282887,5.718878346210345,-30.81399012481087,4.675520270453343,4.19056055671598,15.37986903355511,350.9327276562148,0.2550008218746183,0.2646188817269574,0.8719773803712336,462.4411504947165,203.0710983657071,-23.32332266769509,1.359794444750994E9,0.0,789976.8710328402,1011.0,201.0,630.0,203.0705371483973,-23.32350977524502,1.359833333333269E9
WALLABY J133214-210542,5513.0,2563.047785106973,3085.9861453214085,5288.103390499864,1001.0,1032.0,273.0,306.0,1243.0,1300.0,14955.0,-0.006990408059209585,0.01158778369426727,10217.33803571089,1.0,0.001756559319475292,730942.362730407,612989.214749276,10.37547933360845,6.761248941424634,-87.6160643475124,11.71383424149097,8.860893237882783,73.46308597422511,265.1833349726938,0.2375432204904767,0.189766800346465,0.5146923663038092,745.506689601512,203.0586160077673,-21.09502319848053,1.393427840564714E9,0.0,661022.5022067351,1016.0,290.0,1256.0,203.0569149294234,-21.09500313360644,1.393129629629532E9
WALLABY J133212-211202,5700.0,2565.703983239766,3022.6726148140942,5239.414151004504,1006.0,1028.0,1463.0,1488.0,1171.0,1275.0,18954.0,-0.005706687923520803,0.01103669311851263,11385.17969411026,1.0,0.001723532507061774,1611407.783471661,1506520.20013467,8.673975337430635,6.122973488379214,14.21684764400283,9.920991840219529,6.460960911832397,30.71173387378883,191.4887981021496,0.1605632340425444,0.1976326214325704,1.013306050474623,823.5034683009833,203.054071306002,-21.20058816354302,1.392526187981468E9,0.0,1612565.492591916,1018.0,1473.0,1194.0,203.0535474243982,-21.20337761686531,1.391981481481385E9
WALLABY J133213-223743,5757.0,2566.541912713878,2165.8319888832516,4495.972281320734,1012.0,1026.0,611.0,625.0,453.0,501.0,3772.0,-0.005788153503090143,0.007198188919574022,2279.809762231347,0.8181201398221115,0.001790434966956472,626347.1257585171,465287.095724065,5.344649557091897,4.025870701811763,-61.21119901405942,4.497526732580964,3.203487387153916,-47.8733097282522,146.4082855096767,0.2877879821155336,0.2737651443398456,0.8678924635737578,381.6277163537787,203.0553924339703,-22.62879679379117,1.378758745950301E9,0.0,631638.537759828,1019.0,618.0,473.0,203.0545646972608,-22.62851822066039,1.378629629629546E9
WALLABY J133210-252901,5379.0,2575.331386025993,453.5696385878755,4223.654063750963,1018.0,1036.0,146.0,163.0,190.0,224.0,5235.0,-0.02027424238622189,0.02532418258488178,9710.199137222351,0.711776639219678,0.006573591059038516,429792.2274060177,247430.0657257844,7.811910020496469,6.526109448948707,51.73252308231545,7.057209137774235,4.555985930967903,48.62412565854004,244.4680059048143,0.3458450115503585,0.3302241426628919,0.6552574286836558,1650.655874378215,203.0455205585343,-25.48379997463421,1.37371581599531E9,0.0,432343.9981333599,1031.0,151.0,205.0,203.0387566363386,-25.48809917481039,1.373666666666589E9
WALLABY J133209-245132,5165.0,2578.587536271866,828.1314549135192,4803.832180893147,1016.0,1044.0,512.0,545.0,722.0,851.0,24867.0,-0.00908397976309061,0.01485445350408554,17580.1990611385,1.0,0.002245875713794016,1991674.290316385,1827826.081956577,12.51444123535579,5.117212809704122,-31.12479526939136,14.7832325436937,5.787829802457023,-32.52905023524399,145.5196859056347,0.1679644264944164,0.2242673699750428,1.142146346507085,1229.116168161021,203.0381455306558,-24.85891157318506,1.384459855201636E9,0.0,1992789.359676905,1031.0,527.0,835.0,203.0373919240407,-24.86080001140384,1.385333333333244E9
WALLABY J133208-225710,4865.0,2578.607584855249,1971.3216771571297,5472.987981991496,1018.0,1047.0,412.0,434.0,243.0,329.0,18363.0,-0.00747503899037838,0.01700328290462494,14597.12024434403,1.0,0.00189714758440737,1220063.82010505,1168321.580818428,10.16184536259627,5.862249923735112,60.06569542081277,10.47893667730785,5.862609841585869,60.28629674751144,232.23683965837,0.1829330149509085,0.1530362304434301,0.709596918042255,892.2128006792412,203.0342261947739,-22.95301892133731,1.396851629296037E9,0.0,1219979.38034085,1032.0,422.0,312.0,203.0317101597836,-22.95522580339507,1.39735185185175E9
WALLABY J133206-220705,5765.0,2581.094090180473,2472.2460156766424,4458.361874240876,1028.0,1040.0,920.0,930.0,401.0,468.0,2553.0,-0.006821938790380955,0.008192839100956917,1620.745656327473,0.9077095832464973,0.001708054902288485,932672.0007531327,465183.3007599805,4.148161960488282,3.708518263497107,83.40711262831468,3.382404002594864,3.180349412404041,-25.74038081297532,32.83137591241426,0.2730633709944295,0.2318524590126866,1.547387148167428,299.5178772372333,203.0281773355017,-22.11814544937469,1.378062256930304E9,0.0,972649.4866994384,1033.0,924.0,458.0,203.0283473536983,-22.11855522104382,1.378351851851769E9
WALLABY J133200-231730,6010.0,2596.140831625392,1768.043092120767,3611.4791280287645,1039.0,1057.0,1450.0,1478.0,738.0,797.0,8713.0,-0.006076028104871511,0.008514713495969772,4805.232353617069,0.9999999011062973,0.00171549903739793,858804.6879739094,638522.5114946873,8.053415447950336,6.082334902504001,23.97196898321027,10.19021683936237,5.308373826670988,16.75152445464516,22.60348029501775,0.2343451044285184,0.2529303805298814,0.7849202452619746,555.7376896337882,203.0030718228192,-23.2918785660987,1.362379243111577E9,0.0,855715.5122242472,1048.0,1467.0,783.0,203.0033303805592,-23.29361681321614,1.3626666666666E9
WALLABY J133158-205217,5526.0,2599.323130079126,3220.1628672805195,5119.302635661232,1043.0,1060.0,419.0,432.0,1079.0,1131.0,4477.0,-0.005338228307664394,0.008475723676383495,3116.902017324973,0.9932102267009327,0.001769521141420961,785149.9401022804,709685.9724095574,5.783501648501844,4.22894282847205,-70.84224977193682,5.555865875398201,3.865200390158833,-88.67482903663976,111.6710490872729,0.2713049575643559,0.2310407493458596,1.002903549463051,410.9082098742778,202.9934833125097,-20.8714085480994,1.390301900660298E9,0.0,780480.7046109037,1051.0,423.0,1088.0,202.9940625399965,-20.87334674673984,1.390018518518424E9
WALLABY J133154-212445,5685.0,2610.0370256281967,2895.478554252089,5302.660539727294,1050.0,1072.0,1338.0,1356.0,1260.0,1316.0,8057.0,-0.007142048329114914,0.007341967429965734,3933.326755000722,0.9971197798371292,0.001707038043443196,677916.6004269753,307962.211573493,8.23082474040252,6.242459950760569,-70.77007325103827,5.109265819766387,4.873320485206086,65.46054632029936,30.50455721053874,0.3018952166349207,0.2498746751021333,0.7703660103207781,531.7719157198636,202.975110268001,-21.41275245082002,1.393697417402259E9,0.0,733327.4424573339,1063.0,1348.0,1291.0,202.9733851135001,-21.41188535552782,1.393777777777679E9
